rosbagTimestamp,Fx,Fy,Fz,Tx,Ty,Tz
1471539673435103853,-335902.0,-227426.0,-8717697.0,-1646.0,83998.0,-12983.0
1471539673436612707,-337469.0,-251208.0,-8753586.0,-3157.0,84709.0,-12154.0
1471539673445616377,-356297.0,-264530.0,-8789369.0,-868.0,83500.0,-12926.0
1471539673446597316,-337928.0,-252335.0,-8752621.0,-4402.0,82527.0,-12114.0
1471539673452683117,-335816.0,-252488.0,-8753650.0,-1934.0,82538.0,-12133.0
1471539673453618771,-336096.0,-254437.0,-8788422.0,-3175.0,78903.0,-12038.0
1471539673468126998,-356473.0,-241978.0,-8753018.0,-3050.0,80605.0,-11320.0
1471539673469129927,-357201.0,-288251.0,-8717145.0,-2415.0,84219.0,-12198.0
1471539673471614113,-377131.0,-253197.0,-8753000.0,-1988.0,83021.0,-12168.0
1471539673473634362,-356014.0,-240851.0,-8753983.0,-1805.0,82787.0,-11360.0
1471539673483624839,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673485137706,-337469.0,-251208.0,-8753586.0,-3157.0,84709.0,-12154.0
1471539673487696655,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673489346659,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673505604366,-356933.0,-264834.0,-8752667.0,-2117.0,82772.0,-12940.0
1471539673507110005,-356933.0,-264834.0,-8752667.0,-2117.0,82772.0,-12940.0
1471539673509766170,-356014.0,-240851.0,-8753983.0,-1805.0,82787.0,-11360.0
1471539673511344336,-336656.0,-251727.0,-8826026.0,-1903.0,83983.0,-12086.0
1471539673519114393,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673520618465,-356933.0,-264834.0,-8752667.0,-2117.0,82772.0,-12940.0
1471539673528599222,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673529681355,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539673542624261,-357491.0,-240394.0,-8789656.0,-3023.0,83504.0,-11327.0
1471539673544111499,-376851.0,-251248.0,-8718227.0,-748.0,86656.0,-12262.0
1471539673549607309,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673550620521,-336451.0,-252792.0,-8716947.0,-3184.0,81810.0,-12146.0
1471539673565687341,-335907.0,-276728.0,-8753865.0,-2227.0,82532.0,-11337.0
1471539673567233675,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673569808904,-356933.0,-264834.0,-8752667.0,-2117.0,82772.0,-12940.0
1471539673571534676,-337928.0,-252335.0,-8752621.0,-4402.0,82527.0,-12114.0
1471539673579254185,-337928.0,-252335.0,-8752621.0,-4402.0,82527.0,-12114.0
1471539673580252107,-336451.0,-252792.0,-8716947.0,-3184.0,81810.0,-12146.0
1471539673588648608,-355457.0,-265291.0,-8716994.0,-900.0,82055.0,-12973.0
1471539673589648503,-335816.0,-252488.0,-8753650.0,-1934.0,82538.0,-12133.0
1471539673602981870,-378785.0,-251918.0,-8752936.0,-3210.0,85192.0,-12189.0
1471539673603973999,-336451.0,-252792.0,-8716947.0,-3184.0,81810.0,-12146.0
1471539673608984460,-337928.0,-252335.0,-8752621.0,-4402.0,82527.0,-12114.0
1471539673610476589,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673625484239,-336451.0,-252792.0,-8716947.0,-3184.0,81810.0,-12146.0
1471539673626972107,-336451.0,-252792.0,-8716947.0,-3184.0,81810.0,-12146.0
1471539673637153159,-337378.0,-226969.0,-8753370.0,-2864.0,84715.0,-12950.0
1471539673638671312,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673641657280,-357491.0,-240394.0,-8789656.0,-3023.0,83504.0,-11327.0
1471539673643240426,-357201.0,-288251.0,-8717145.0,-2415.0,84219.0,-12198.0
1471539673648555012,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673649988479,-355267.0,-287582.0,-8682436.0,48.0,85684.0,-12271.0
1471539673662980085,-356933.0,-264834.0,-8752667.0,-2117.0,82772.0,-12940.0
1471539673665014407,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539673669875447,-355090.0,-288404.0,-8718174.0,53.0,84231.0,-12217.0
1471539673670872950,-335626.0,-274779.0,-8719093.0,-987.0,86167.0,-11431.0
1471539673685863638,-357668.0,-239572.0,-8753919.0,-3027.0,84958.0,-11381.0
1471539673686901898,-335626.0,-274779.0,-8719093.0,-987.0,86167.0,-11431.0
1471539673689720923,-355634.0,-264468.0,-8681256.0,-904.0,83509.0,-13027.0
1471539673691083046,-336439.0,-274260.0,-8646653.0,-2241.0,86892.0,-11499.0
1471539673708863472,-335804.0,-273956.0,-8683355.0,-991.0,87620.0,-11485.0
1471539673710367828,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673714110329,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539673715610500,-335449.0,-275601.0,-8754830.0,-982.0,84713.0,-11377.0
1471539673723874746,-315886.0,-287542.0,-8717795.0,-2361.0,83736.0,-12163.0
1471539673724856529,-355556.0,-239725.0,-8754948.0,-560.0,84969.0,-11400.0
1471539673729899769,-357024.0,-289074.0,-8752882.0,-2410.0,82766.0,-12144.0
1471539673731042637,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673745386859,-336629.0,-251969.0,-8681210.0,-3189.0,83264.0,-12201.0
1471539673746862800,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539673752495242,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673753506574,-335626.0,-274779.0,-8719093.0,-987.0,86167.0,-11431.0
1471539673768361525,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673769851587,-357201.0,-288251.0,-8717145.0,-2415.0,84219.0,-12198.0
1471539673773991728,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673776552437,-355548.0,-289531.0,-8717209.0,-1192.0,82049.0,-12177.0
1471539673783392261,-357288.0,-263189.0,-8681192.0,-2127.0,85679.0,-13048.0
1471539673784418828,-357465.0,-262366.0,-8645455.0,-2131.0,87133.0,-13103.0
1471539673787473914,-355634.0,-264468.0,-8681256.0,-904.0,83509.0,-13027.0
1471539673789082776,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673805440054,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673806894663,-335535.0,-250539.0,-8718877.0,-694.0,86173.0,-12227.0
1471539673813063120,-356475.0,-263708.0,-8753632.0,-873.0,84954.0,-12980.0
1471539673814103188,-336262.0,-275083.0,-8682390.0,-2236.0,85439.0,-11445.0
1471539673828378031,-315617.0,-264125.0,-8753317.0,-2064.0,82289.0,-12905.0
1471539673829368207,-355825.0,-263142.0,-8719426.0,-857.0,86416.0,-10659.0
1471539673834082160,-356652.0,-262885.0,-8717895.0,-877.0,86407.0,-13035.0
1471539673835545295,-356933.0,-264834.0,-8752667.0,-2117.0,82772.0,-12940.0
1471539673850893383,-356933.0,-264834.0,-8752667.0,-2117.0,82772.0,-12940.0
1471539673854441946,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673854770538,-335902.0,-227426.0,-8717697.0,-1646.0,83998.0,-12983.0
1471539673855281518,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673865895935,-335449.0,-275601.0,-8754830.0,-982.0,84713.0,-11377.0
1471539673866908556,-334608.0,-276362.0,-8682454.0,-1014.0,83268.0,-11424.0
1471539673878569286,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673880162097,-335449.0,-275601.0,-8754830.0,-982.0,84713.0,-11377.0
1471539673887876598,-377486.0,-251552.0,-8681525.0,-1997.0,85928.0,-12276.0
1471539673889385103,-333795.0,-276881.0,-8754894.0,240.0,82543.0,-11356.0
1471539673893011298,-355267.0,-287582.0,-8682436.0,48.0,85684.0,-12271.0
1471539673894089490,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673902528505,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673903987706,-355090.0,-288404.0,-8718174.0,53.0,84231.0,-12217.0
1471539673915722593,-335535.0,-250539.0,-8718877.0,-694.0,86173.0,-12227.0
1471539673916709089,-377577.0,-275792.0,-8681740.0,-2290.0,85922.0,-11480.0
1471539673925590245,-356014.0,-240851.0,-8753983.0,-1805.0,82787.0,-11360.0
1471539673926591232,-336171.0,-250843.0,-8682175.0,-1944.0,85445.0,-12241.0
1471539673929860961,-336834.0,-250905.0,-8790288.0,-1907.0,85437.0,-12140.0
1471539673931365426,-357201.0,-288251.0,-8717145.0,-2415.0,84219.0,-12198.0
1471539673948577162,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673949629815,-336439.0,-274260.0,-8646653.0,-2241.0,86892.0,-11499.0
1471539673952770039,-376851.0,-251248.0,-8718227.0,-748.0,86656.0,-12262.0
1471539673954256905,-358764.0,-262732.0,-8716866.0,-3345.0,86396.0,-13016.0
1471539673962546000,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673964056446,-357288.0,-263189.0,-8681192.0,-2127.0,85679.0,-13048.0
1471539673969524615,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673971253352,-356192.0,-240029.0,-8718245.0,-1810.0,84241.0,-11414.0
1471539673985682360,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673987137714,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673992078577,-356830.0,-262062.0,-8682157.0,-882.0,87861.0,-13089.0
1471539673992604629,-357201.0,-288251.0,-8717145.0,-2415.0,84219.0,-12198.0
1471539674008041950,-355825.0,-263142.0,-8719426.0,-857.0,86416.0,-10659.0
1471539674011524245,-356192.0,-240029.0,-8718245.0,-1810.0,84241.0,-11414.0
1471539674013145566,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539674014725804,-356014.0,-240851.0,-8753983.0,-1805.0,82787.0,-11360.0
1471539674022544909,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539674024020743,-335449.0,-275601.0,-8754830.0,-982.0,84713.0,-11377.0
1471539674029034532,-64447.0,243640.0,-9258950.0,-34840.0,110792.0,-11626.0
1471539674030253604,-298092.0,-152061.0,-8790515.0,-4353.0,87147.0,-12915.0
1471539674045532072,-336925.0,-275145.0,-8790504.0,-2200.0,85430.0,-11344.0
1471539674049077718,-190455.0,301493.0,-9461559.0,-61323.0,107528.0,-12043.0
1471539674050194796,-278798.0,-187418.0,-8717958.0,-6029.0,87617.0,-12960.0
1471539674051141326,-311692.0,-4481.0,-8821720.0,-19802.0,90023.0,-12814.0
1471539674068006244,-326938.0,53123.0,-8859984.0,-15373.0,86680.0,-11201.0
1471539674069496136,-434100.0,-130994.0,-8963295.0,-18960.0,85628.0,-11117.0
1471539674073147029,-294841.0,8151.0,-9036370.0,-22033.0,89752.0,-14162.0
1471539674074655647,-307272.0,153567.0,-9211490.0,-36219.0,88995.0,-13884.0
1471539674083013562,-320393.0,68712.0,-9179532.0,-27415.0,90708.0,-12434.0
1471539674085224375,-335114.0,215103.0,-9317886.0,-44072.0,91394.0,-12191.0
1471539674088990752,-258476.0,364250.0,-9426883.0,-49513.0,94793.0,-12049.0
1471539674090514689,-235502.0,352522.0,-9319466.0,-47212.0,94564.0,-12941.0
1471539674105559461,-354586.0,251284.0,-9354706.0,-42401.0,92377.0,-12201.0
1471539674107021150,-218805.0,316432.0,-9389730.0,-51314.0,93560.0,-12812.0
1471539674110241848,-287045.0,400477.0,-9493793.0,-57726.0,94270.0,-14304.0
